user_id,text,sentiment,confidence,platform,date
1,هذا أفصل منتج استخدمته على الإطلاح!,positive,90.0,Twitter,2024-02-01  
2,لمي عجبي هذا الهاتف، بطاريته ضعيفه جدا.,negative,90.0,Facebook,2024-02-02  
3,التجربة كانت عاديا، ما شئي مميز.,neutral,90.0,Instagram,2024-02-03  
4,الخدمة في المطعم كانت رائعًا جدًا، سأعود مراه أخرى!,positive,90.0,Amazon,2024-02-04  
5,أسوء تجربه مرر تبيها، لن أكررها ابدأ.,negative,90.0,YouTube,2024-02-05  
6,الشحان كان سريعًا جذا، والمنتف متبق للوصف.,neutral,90.0,Telegram,2024-02-06  
7,الفيلم كان متمعن ولاكن النهاية لم تكن جيده.,neutral,90.0,eBay,2024-02-07  
8,الملابس ذات خوذة رديئه، ما أنصع بشراها.,negative,90.0,TripAdvisor,2024-02-08  
9,الدعم الفني كان متوان وسريع الاستجابة.,positive,90.0,Booking,2024-02-09  
10,الألوان في السورة لم تكن واضحه كما توقعت,negative,90.0,Twitter,2024-02-10  
11,التطبيب يتوقف عن العمل بشيلك متكرر.,negative,90.0,Facebook,2024-02-11  
12,المكان كان هاديا ومناسب لي الاسترخاء,positive,90.0,Instagram,2024-02-12  
13,المكيف لا يعمل جيدا، والحرارة مرتفعة جذا.,negative,90.0,Amazon,2024-02-13  
14,لم أكن متأكد من الجودة ولكنها كانت جيدا بلافع.,positive,90.0,YouTube,2024-02-14  
15,كانتا لرحله مذهلًا، كل شؤ كان منضم بشكل رائع!,positive,90.0,Telegram,2024-02-15  
16,الطعام كان سيء جذا، لم استطيعا كله.,negative,90.0,eBay,2024-02-16  
17,الخدمة كانت يطبعا بعض الشي، لكنها ليست سيئا.,neutral,90.0,TripAdvisor,2024-02-17  
18,أحببت الهتف الجديد، يعمل بسلاسة وكمرته رائعًا.,positive,90.0,Booking,2024-02-18  
19,وجت العديد من المشاكل مع هذا الجهاد.,negative,90.0,Twitter,2024-02-19  
20,التجربة كانت مختلفه ولكنها ليست سيء.,positive,90.0,Facebook,2024-02-20  
21,السيارة مريحه جذا واقتصاديه في الوقود.,positive,90.0,Instagram,2024-02-21  
22,الكتاب كان ممل ولم استطيعا نهاه.,negative,90.0,Amazon,2024-02-22  
23,كانت الروايه صعب الاستخدام ولكنني اعتد عليها لاحقا,neutral,90.0,YouTube,2024-02-23  
24,المنتج فاح تبعاتي بكثير، رائع جذا!,positive,90.0,Telegram,2024-02-24  
25,لا أنصاح بهذا المكان، الخدمة كانت سيء.,negative,90.0,eBay,2024-02-25  
26,كان الطقس جميل استمعت بالمشي في الحقيقة,positive,90.0,TripAdvisor,2024-02-26  
27,التطبيق لا يفر جميع المميزا تالي وعد بها.,negative,90.0,Booking,2024-02-27  
28,الحقائق كانت جميله ولكنها ليست مدينة كفاية,positive,90.0,Twitter,2024-02-28  
29,الخدمة كانت ممتازه والموظفين ودودون جذا.,positive,90.0,Facebook,2024-02-29  
30,الحاسوب يتعطل ب استمرار، تخريبه سيء.,negative,90.0,Instagram,2024-03-01  
